~kg以内,邮政-EMS,邮政-航空件,邮政-EPL,邮政-海运,竹蜻蜓,竹蜻蜓Plus,竹蜻蜓Max,竹蜻蜓Echo
0.25,1450,2050,1120,1800,E,400,E,900
0.5,1450,2050,1120,1800,800,800,900,900
0.6,1600,2050,1220,1800,1000,1600,1200,1200
0.7,1750,2050,1320,1800,1000,1600,1200,1200
0.8,1900,2050,1420,1800,1000,1600,1200,1200
0.9,2050,2050,1520,1800,1000,1600,1200,1200
1.0,2200,2050,1620,1800,1000,1600,1200,1200
1.25,2500,2750,1920,2200,1250,2400,1500,1500
1.5,2800,2750,2120,2200,1250,2400,1500,1500
1.75,3100,2750,2420,2200,1500,3200,1800,1800
2.0,3400,2750,E,2200,1500,3200,1800,1800
2.5,3900,3450,E,2600,1800,4000,2100,2100
3.0,4400,3450,E,2600,2100,4800,2400,2400
3.5,4900,4150,E,3000,E,5800,2700,2700
4.0,5400,4150,E,3000,E,6800,3000,3000
4.5,5900,4850,E,3400,E,7800,3300,3300
5.0,6400,4850,E,3400,E,8800,3600,3600
100.0,E,E,E,E,E,E,E,E
